Key,Name,Hex
metadata.version,1.1.0,
metadata.last_updated,2026-05-22,
metadata.author,Fadhil Akbar Cariearsa,
metadata.license,MIT,
metadata.category,Color Palette,
metadata.description,A dataset of over 200 standard colors with their official names and the hex codes.,
color.blue,Absolute Zero,#0048BA
color.green,Acid Green,#B0BF1A
color.blue,Aero,#7CB9E8
color.purple,African Violet,#B284BE
color.blue,Air Superiority Blue,#72A0C1
color.white,Alabaster,#EDEAE0
color.blue,Alice Blue,#F0F8FF
color.orange,Alloy Orange,#C46210
color.brown,Almond,#EFDECD
color.red,Amaranth,#E52B50
color.pink,Amaranth Pink,#F19CBB
color.purple,Amaranth Purple,#AB274F
color.green,Amazon,#3B7A57
color.yellow,Amber,#FFBF00
color.purple,Amethyst,#9966CC
color.brown,Antique Brass,#CD9575
color.brown,Antique Bronze,#665D1E
color.purple,Antique Fuchsia,#915C83
color.red,Antique Ruby,#841B2D
color.white,Antique White,#FAEBD7
color.green,Apple Green,#8DB600
color.orange,Apricot,#FBCEB1
color.blue,Aqua,#00FFFF
color.green,Aquamarine,#7FFFD4
color.green,Arctic Lime,#D0FF14
color.green,Artichoke,#8F9779
color.yellow,Arylide Yellow,#E9D66B
color.grey,Ash Gray,#B2BEB5
color.green,Asparagus,#87A96B
color.orange,Atomic Tangerine,#FF9966
color.brown,Auburn,#A52A2A
color.yellow,Aureolin,#FDEE00
color.green,Avocado,#568203
color.blue,Azure,#F0FFFF
color.blue,Baby Blue,#89CFF0
color.pink,Baby Pink,#F4C2C2
color.white,Baby Powder,#FEFEFA
color.pink,Baker-Miller Pink,#FF91AF
color.yellow,Banana Mania,#FAE7B5
color.yellow,Banana Yellow,#FFE135
color.red,Barn Red,#7C0A02
color.grey,Battleship Grey,#848482
color.brown,Bazaar,#98777B
color.blue,Beau Blue,#BCD4E6
color.brown,Beaver,#9F8170
color.brown,Beige,#F5F5DC
color.brown,Bisque,#FFE4C4
color.brown,Bistre,#3D2B1F
color.brown,Bistre Brown,#967117
color.yellow,Bitter Lemon,#CAE00D
color.green,Bitter Lime,#BFFF00
color.orange,Bittersweet,#FE6F5E
color.red,Bittersweet Shimmer,#BF4F51
color.black,Black,#000000
color.black,Black Bean,#3D0C02
color.grey,Black Coral,#54626F
color.black,Black Olive,#3B3C36
color.brown,Blanched Almond,#FFEBCD
color.red,Blood Red,#660000
color.blue,Blue,#0000FF
color.blue,Blue Bell,#A2A2D0
color.blue,Blue Gray,#6699CC
color.green,Blue Green,#0D98BA
color.blue,Blue Sapphire,#126180
color.purple,Blue Violet,#8A2BE2
color.pink,Blush,#DE5D83
color.brown,Bole,#79443B
color.white,Bone,#E3DAC9
color.red,Brick Red,#CB4154
color.brown,Bronze,#CD7F32
color.brown,Brown,#A52A2A
color.brown,Brown Sugar,#AF6E4D
color.red,Burgundy,#800020
color.brown,Burlywood,#DEB887
color.brown,Burnished Brown,#A17A74
color.orange,Burnt Orange,#CC5500
color.brown,Burnt Sienna,#E97451
color.brown,Burnt Umber,#8A3324
color.blue,Cadet Blue,#5F9EA0
color.green,Cadmium Green,#006B3C
color.orange,Cadmium Orange,#ED872D
color.red,Cadmium Red,#E30022
color.yellow,Cadmium Yellow,#FFF600
color.brown,Cafe Au Lait,#A67B5B
color.brown,Cafe Noir,#4B3621
color.blue,Cambridge Blue,#A3C1AD
color.brown,Camel,#C19A6B
color.pink,Cameo Pink,#EFBBCC
color.yellow,Canary,#FFFF99
color.yellow,Canary Yellow,#FFEF00
color.red,Candy Apple Red,#FF0800
color.pink,Candy Pink,#E4717A
color.blue,Capri,#00BFFF
color.red,Cardinal,#C41E3A
color.green,Caribbean Green,#00CC99
color.red,Carmine,#960018
color.pink,Carnation Pink,#FFA6C9
color.red,Carnelian,#B31B1B
